Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Order,Summary,Body,Duration,Price,Number req,List thumbnail,Hero background,Hero attribution,Category,Sub Category,Video,meta-description
Manatee Watch Snorkeling 1/2 Day ,manatee-watch-snorkeling,5c684cb846b367fa86f2e403,5c684cb846b3670cabf2e530,Sat Jan 05 2019 14:21:53 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:55:51 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),14,An up close and personal view of the West Indies Manatees in their natural habitat. Snorkel at the Caye Caulker Channel & Corals Gardens . ,"<p id="""">An up close and personal view of the West Indies Manatees in their natural habitat. Snorkel at the Caye Caulker Channel &amp; &nbsp;Corals Gardens . Visit the famous ""split"" for lunch and cocktails guest will need to bring money or credit cards to purchase lunch. </p>",Depart EP 8:00am – return approximately 2:00pm,US $550 for 1-4 guests,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd811213427d0d022da7_5bb54b65e7315006031a94b9_manatee-caye-caulker-AdobeStock_122561100.jpeg,,,Sea,Snorkel,,"Enjoy a half-day Manatee Watch Snorkeling tour. See West Indies Manatees, snorkel at Caye Caulker Channel & Coral Gardens, and visit the ""split"" for lunch."
Mexico Rocks Sailing,mexico-rocks-sailing,5c684cb846b367fa86f2e403,5c684cb846b367e01bf2e542,Sat Jan 05 2019 14:21:53 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:45:35 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),13,"Enjoy a full day of sailing while stopping at our preferred snorkel stops - Habaneros, Mexico Rocks, and Mata Grande shipwreck. Mid-day enjoy a feast of local BBQ.","<p>Escape to the northern side of Ambergris Caye. Enjoy a full day of sailing while stopping at our preferred snorkel stops - Habaneros, Mexico Rocks, and Mata Grande shipwreck. Mid-day enjoy a feast of local BBQ. Enjoy the tranquility and peacefulness of the less inhabited side of our island.</p><p>‍</p>",All Day. Approx. 8 hours.,US $115 per person,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd81cb585f8d0744d665_5c2a54741110ec093404839d_act_mrocks_as_174911947.jpeg,,,Sea,Saling,,"Set sail on a full-day adventure with El Pescador. Snorkel at Habaneros, Mexico Rocks, and Mata Grande shipwreck. Enjoy a delicious local BBQ. Book now!]"
Parasailing,parasailing,5c684cb846b367fa86f2e403,5c684cb846b36728e9f2e54a,Sat Jan 05 2019 14:21:54 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:54:44 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),15,"This excursion gives you a bird’s-eye view of our beautiful island. Ride with the most experienced crew in Belize, in comfort and trust.","<p>This excursion gives you a bird’s-eye view of our beautiful island. Ride with the most experienced crew in Belize, in comfort and trust.</p><p>‍</p>",Time varies depending on individual or group.,"US $125 for Single, US $200 for tandem, US $260 for triple",,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd8212134210bc022dab_5c2536e59a1575020285eb79_act_para_20090315_elpescador_bz_112_small.jpeg,,,Sea,,,Experience parasailing in Belize for a bird's-eye view of our beautiful island. Fly with the most experienced crew in comfort and trust. Book now!
Reef Fishing & Beach Picnic,reef-fishing-beach-picnic,5c684cb846b367fa86f2e403,5c684cb846b36762fbf2e54b,Sat Jan 05 2019 14:21:54 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:22:36 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),2,"Fish the reef and enjoy your catch with a BBQ lunch on a secluded beach. Enjoy wading, shelling or just relaxing in the sun while your picnic is prepared. Spend the afternoon snorkeling or try more fishing!","<p id="""">Fish the reef for your “catch of the day.” Your guide will BBQ your freshly caught fish on a secluded beach. You may enjoy wading, shelling or just relaxing in the sun while your picnic is prepared. Spend the afternoon snorkeling or try more fishing! Includes boat, fishing gear and guide for eight consecutive hours, lunch and drinks. Up to four anglers per boat/guide.</p><p id="""">FULL DAY: US $650 for up to 4 people</p><p id="""">HALF DAY: US $425 for up to 4 people</p>",Depart 8:30am – return approximately 3:30pm,See above,1,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd8232c18734a003d203_5c25508d77f2834b739c7220_act-reef-fishing-om-5469.jpeg,,,Sea,Fishing,,"Enjoy reef fishing and a BBQ lunch on a secluded beach with El Pescador. Relax, snorkel, or fish more after your picnic. Book your Belize adventure now!"
Scuba Diving Trips,scuba-diving,5c684cb846b367fa86f2e403,5c684cb846b36748a4f2e54c,Sat Jan 05 2019 14:21:54 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:53:54 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),4,"Choose local diving or full day trips with one, two, or three tanks. Day and night dives available.","<h3 id="""">Local Diving: </h3><p id="""">One, Two and Three tank local dives plus Night dives</p><h3 id="""">Day trips</h3><ul id=""""><li id="""">The Blue Hole (3 Tanks)</li><li id="""">Turneffe Elbow (3 Tanks)</li></ul><p>Ambergris Caye offers some of the most beautiful diving in the world. Enjoy the numerous fish and beautiful coral at the dozens of dive sites along our barrier reef, or venture out to some of the breathtaking atolls for an all day trip.</p><p id="""">*Please note all scuba divers MUST be certified and MUST have been diving within the past 3 years to qualify for local diving rates. &nbsp;If you do not meet these requirements, we also offer PADI courses. </p><h3 id="""">Rates</h3><p id="""">Includes weights, belt, tank(s), and drinks. Personal gear such as BCD, regulator, mask, snorkel &amp; fins, lights for night dives and/or wetsuit are not included but are available for rent. </p><p id="""">Park fees, if applicable, are not included. You must be certified to dive.</p><p id="""">Local diving rates (min 2 pax):</p><ul id=""""><li id="""">Local 1 tank US $60 per person</li><li id="""">Local 2 tank US $90 per person</li><li id="""">Local 3 tank US $145 per person</li></ul><p id="""">Turneffe Elbow</p><ul id=""""><li id="""">3-Tank with Beach BBQ US $235 per person (min12 pax) </li></ul><p id="""">Blue Hole</p><ul id=""""><li id="""">3 tank US $285 per person (includes US $40 park fee) (min12 pax) </li></ul><p id="""">‍</p>",Time varies depending on destination,,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd827569f59dc0fba2a4_5c2548561110ec56570010a8_act_dive.jpeg,,,Sea,Dive,,Explore Ambergris Caye's stunning dive sites with local dives and day trips to The Blue Hole and Turneffe Elbow. Certified divers only. Book your dive adventure
Scuba Diving Courses,scuba-diving-courses,5c684cb846b367fa86f2e403,5c684cb846b367ff79f2e54d,Sat Jan 05 2019 14:21:55 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:53:27 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),5,"Resort Course, Refresher Course, Referral Course, Open Water Course, Advanced Open Water, Rescue, Medic First Aid and Dive Master. ","<p id="""">PADI dive instructors offer a variety of courses for the novice to the experienced diver.&nbsp;</p><p id=""""><strong id="""">Courses Available</strong></p><p id="""">Resort / Refresher Course US $150<br>Resort Discover Scuba Diving Course US $180<br>E-learning Referral US $400<br>Advanced Open Water US $450<br>Open Water Certification US $450<br>Rescue Course US $300<br></p>",The length of the dive courses varies from a half day to one week.,Varies by Course,1,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd83ff1c07f54f9dc2e7_5c2548f2fd28a751adee83de_act_div-courses.jpeg,,,Sea,Dive,,Learn to dive with PADI instructors at El Pescador. Courses for all levels: beginner to advanced. Book now and start your underwater adventure!
Snorkeling,snorkeling,5c684cb846b367fa86f2e403,5c684cb846b3671178f2e54e,Sat Jan 05 2019 14:21:55 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:52:52 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),7,"Half-day trips include Hol Chan Marine Reserve and Shark Ray Alley, Mexico Rocks, and Coral Gardens.","<p id="""">Enjoy the underwater wonders of the Belize Barrier Reef, host to a variety of species including sharks, rays, eels, grouper, parrot fish, trigger fish, seahorses, turtles, shrimp, sea fans, coral and many other wondrous aquatic lives. Length and rate of trips vary by snorkeling destinations.</p><p id="""">1/2 day trips include Hol Chan Marine Reserve &amp; Shark Ray Alley, Mexico Rocks, and Coral Gardens.</p><p id="""">Snorkeling Hol Chan &amp; Shark Ray Alley marine reserve (half day) </p><ul id=""""><li id="""">US $70 per person</li></ul><p id="""">Coral Garden snorkeling (half day)</p><ul id=""""><li id="""">US $160 per person</li></ul><p id="""">Mexico Rocks 2 snorkeling stops (half day) </p><ul id=""""><li id="""">US $70 per person</li></ul><p id="""">‍</p>",Time and cost varies depending on destination,See above,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd83ff1c0746019dc2ea_5c254ada77f2830fa59c6a70_act_snorkel-Klug-November%2520Belize-2014-42.jpeg,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd83ff1c07710e9dc2eb_5bb51e1ce56d4d2f2df7ec37_20090315_elpescador_bz_112.jpeg,Jeff Selser,Sea,,,"Discover the Belize Barrier Reef's diverse marine life with snorkeling trips to Hol Chan, Shark Ray Alley, Mexico Rocks, and Coral Gardens. Book your adventure "
Snorkeling Trip to  Bacalar Chico,snorkeling-trip-to-bacalar-chico,5c684cb846b367fa86f2e403,5c684cb846b3675968f2e54f,Sat Jan 05 2019 14:21:55 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:49:22 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),8,"Make three snorkeling stops on the way up the coast of Ambergris Caye to the border with Mexico and the beautiful, remote Bacalar Chico Marine Reserve, UNESCO World Heritage site.","<p>Make three snorkeling stops on the way up the coast of Ambergris Caye to the border with Mexico and the beautiful, remote Bacalar Chico marine reserve, UNESCO World Heritage site. This spot offers excellent opportunities to collect seashells or, for those who brought along a fishing rod, wade un-guided for bonefish. Enjoy a delicious beach picnic of fresh seasonal seafood cooked over coconut husks. </p>",Depart EP 8:30am – return approximately 5:00pm,"For 1 to 8 guests - US $900, any additional guests US $100 each",,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd831213421aad022dae_5c254a729a15756183861085_act-snorkel-Klug-November%2520Belize-2014-65.jpeg,,,Sea,Snorkel,,"Snorkel at three stunning spots along Ambergris Caye, ending at the Bacalar Chico Marine Reserve, a UNESCO World Heritage site. Book your adventure with El Pesc"
Snorkeling Trip to Caye Caulker - (Charter),snorkeling-trip-to-caye-caulker-charter,5c684cb846b367fa86f2e403,5c684cb846b36738c9f2e550,Sat Jan 05 2019 14:21:56 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:52:19 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),9,"Snorkeling trip to Caye Caulker with stops at Hol Chan and Shark Ray Alley. Lunch at Caye Caulker , then feed the Tarpon and Rays","<p id="""">Snorkeling at Hol Chan &amp; Shark Ray Alley, then visit our neighboring island Caye Caulker for lunch, guest will need to &nbsp;bring money or credit cards to purchase lunch </p><p id="""">Tarpon feeding, sightseeing seahorse, and feeding the rays. </p><p id="""">‍</p>",Depart EP 10am – return approximately 5pm,US $550,For 1-4 guest ,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd841213429e30022db1_5c2553f8fd28a74615ee9b1e_act-snorkeling-holchan-om-5590.jpeg,,,Sea,Snorkel,,"Snorkel at Hol Chan & Shark Ray Alley, then lunch at Caye Caulker. Enjoy tarpon feeding, seahorse sightseeing, and ray feeding. Bring money for lunch. Book now!"
Spa Services,spa-services,5c684cb846b367fa86f2e403,5c684cb846b3671a98f2e551,Sat Jan 05 2019 14:21:56 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 20:51:50 GMT+0000 (Coordinated Universal Time),Wed Jul 03 2024 21:52:06 GMT+0000 (Coordinated Universal Time),,"Enjoy a fabulous deep tissue massage, facial, manicure, or pedicure from one of our specialists.","<p>Enjoy a fabulous deep tissue massage, facial, manicure, or pedicure from one of our specialists. Spa services may be conducted in the massage Room (in the main lodge on the second floor above the office), in your room or villa, on the dock or even on the beach!</p><ul><li>Massage - US $80 per hour</li><li>Manicure - US $25</li><li>Pedicure - US $40</li><li>Facial - US $50</li></ul><p>‍</p>",Available by appointment. Please schedule with the front desk.,,,https://uploads-ssl.webflow.com/57fa7f0754bcd3af639ff409/5c30bd84cb585f506144d66c_5c2779d377f28327a19ea785_therapist-pouring-massage-oil-at-spa-GWM6LQV.jpeg,,,Land,,,"Indulge in a deep tissue massage, facial, manicure, or pedicure at El Pescador. Enjoy spa services in your room, villa, on the dock, or beach. Book your relaxat"
